,City,State,Country,timeframe,Latitude,Longitude
88,Las Vegas,NV,USA,10-Jan-15,36.1699412,-115.1398296
89,Las Vegas,NV,USA,23-Jan-15,36.1699412,-115.1398296
90,Edmonton,AB,Canada,24-Jan-15,53.544389,-113.4909267
91,Miami Beach,FL,USA,30-Jan-15,25.790654,-80.1300455
92,Phoenix,AZ,USA,31-Jan-15,33.4483771,-112.0740373
93,Austin,TX,USA,13-Feb-15,30.267153,-97.7430608
94,Houston,TX,USA,14-Feb-15,29.7604267,-95.3698028
95,Las Vegas,NV,USA,15-Feb-15,36.1699412,-115.1398296
96,El Paso,TX,USA,16-Feb-15,31.7618778,-106.4850217
97,Tucson,AZ,USA,18-Feb-15,32.2226066,-110.9747108
98,Scottsdale,AZ,USA,19-Feb-15,33.4941704,-111.9260519
99,San Diego,CA,USA,20-Feb-15,32.715738,-117.1610838
100,Old San Juan,Puerto Rico,Puerto Rico,21-Feb-15,18.4660562,-66.1190552
101,Pasadena,CA,USA,22-Feb-15,34.1477849,-118.1445155
102,Salt Lake City,UT,USA,24-Feb-15,40.7607793,-111.8910474
103,Denver,CO,USA,25-Feb-15,39.7392358,-104.990251
104,Kansas City,MO,USA,26-Feb-15,39.0997265,-94.5785667
105,Saint Paul,MN,USA,27-Feb-15,44.9537029,-93.0899578
106,Chicago,IL,USA,28-Feb-15,41.8781136,-87.6297982
107,Chicago,IL,USA,28-Feb-15,41.8781136,-87.6297982
108,Royal Oak,MI,USA,1-Mar-15,42.4894801,-83.1446485
109,Saint Louis,MO,USA,2-Mar-15,38.6270025,-90.1994042
110,Toronto,ON,Canada,5-Mar-15,43.653226,-79.3831843
111,Las Vegas,NV,USA,6-Mar-15,36.1699412,-115.1398296
112,Montreal,QC,Canada,7-Mar-15,45.5016889,-73.567256
113,Montreal,QC,Canada,8-Mar-15,45.5016889,-73.567256
114,Atlantic City,NJ,USA,9-Mar-15,39.3642834,-74.4229266
115,Rochester,NY,USA,11-Mar-15,43.1565779,-77.6088465
116,Wallingford,CT,USA,12-Mar-15,41.4570108,-72.8230736
117,New York,NY,USA,13-Mar-15,40.7127753,-74.0059728
118,New York,NY,USA,13-Mar-15,40.7127753,-74.0059728
119,Mashantucket,CT,USA,14-Mar-15,41.4615182,-71.9786626
120,El Paso,TX,USA,15-Mar-15,31.7618778,-106.4850217
121,Cancun,Quintana Roo,Mexico,16-Mar-15,21.161908,-86.8515279
122,Boston,MA,USA,17-Mar-15,42.3600825,-71.0588801
123,South Padre Island,TX,USA,18-Mar-15,26.1118401,-97.1681257
124,Austin,TX,USA,18-Mar-15,30.267153,-97.7430608
125,Charlotte,NC,USA,19-Mar-15,35.2270869,-80.8431267
126,Norfolk,VA,USA,20-Mar-15,36.8507689,-76.2858726
127,Washington,DC,USA,21-Mar-15,47.7510741,-120.7401385
128,TBA,TBA,USA,21-Mar-15,40.711123,-73.966358
129,Miami Beach,FL,USA,24-Mar-15,25.790654,-80.1300455
130,Miami Beach,FL,USA,26-Mar-15,25.790654,-80.1300455
131,Las Vegas,NV,USA,27-Mar-15,36.1699412,-115.1398296
132,Miami,FL,USA,28-Mar-15,25.7616798,-80.1917902
133,Cancun,Quintana Roo,Mexico,2-Apr-15,21.161908,-86.8515279
134,Puerto Vallarta,Mexico,Mexico,3-Apr-15,20.653407,-105.2253316
135,Oakland,CA,USA,4-Apr-15,37.8043637,-122.2711137
136,Concord,NH,USA,9-Apr-15,37.9779776,-122.0310733
137,University Park,PA,USA,10-Apr-15,32.8550377,-96.797592
